Ward,time_period,County,observed,observed_trend_2mo,alert_flag,predicted_value_1mo,predicted_value_2mo,predicted_value_3mo,predicted_trend_1mo,predicted_trend_2mo,predicted_trend_3mo,predicted_trend_CI_1mo,predicted_trend_CI_2mo,predicted_trend_CI_3mo,lower_bound_1mo,lower_bound_2mo,lower_bound_3mo,upper_bound_1mo,upper_bound_2mo,upper_bound_3mo,consecutive_alerts
Abakaile,2024-01-01,Garissa,0.0,No Data,False,0.0,0.00051686814,0.002049144,Stable,Stable,Stable,Stable,Stable,Stable,-0.000947047540103,-0.0022542406455613,-0.0031378828571178,0.001694788824534,0.0039058469003066,0.0051163707626983,0
Abakaile,2024-02-01,Garissa,0.0,Stable,False,0.00048271706,0.0,0.0,Stable,Stable,Stable,Stable,Stable,Stable,-0.0039283419493585,-0.0080748181324452,-0.0109486749395728,0.002059774682857,0.006701121898368,0.0122789908666163,0
Abakaile,2024-03-01,Garissa,0.0,Stable,False,0.0005347816,0.0,0.0,Stable,Stable,Stable,Stable,Stable,Stable,-0.0028993968036957,-0.0103529939427971,-0.013757144799456,0.0014086729264818,0.0026149624725803,0.0046931579243391,0
Abakaile,2024-04-01,Garissa,0.0,Stable,False,0.00043969412,0.0,0.0,Stable,Stable,Stable,Stable,Stable,Stable,-0.0013349071028642,-0.0078069891547784,-0.0145713992416858,0.0007909543783171,0.0012410185590852,-0.0006815238913986,0
Abakaile,2024-05-01,Garissa,0.0,Stable,False,0.0005285643,0.0,0.0,Stable,Stable,Stable,Stable,Stable,Stable,-0.0021295752958394,-0.0074261982226744,-0.0115667003672569,0.0009173158643534,0.001179239002522,-3.056555115108528e-05,0
Abakaile,2024-06-01,Garissa,0.0,Stable,False,0.0005820959,0.0048900708,0.00030068014,Stable,Stable,Stable,Stable,Stable,Stable,-0.0001278675576031,-0.0009866238746326,-0.0050250478554517,0.002817056060303,0.0097084117121994,0.0018991799792274,0
Abakaile,2024-07-01,Garissa,0.0,Stable,False,0.0021378882,0.002628439,0.0,Stable,Stable,Stable,Stable,Stable,Stable,0.0001843140351411,-0.0012719468970317,-0.0033347601420246,0.0084822311066091,0.0106901763472706,0.0045144787523895,0
Abakaile,2024-08-01,Garissa,0.0,Stable,False,0.002652129,0.0,0.0010653692,Stable,Stable,Stable,Stable,Stable,Stable,-2.7396467032758544e-07,-0.0011216511658858,-0.0015735362598206,0.0130747725255787,0.0053834246937185,0.0052499098237603,0
Abakaile,2024-09-01,Garissa,0.0,Stable,False,1.480351e-05,0.00026476965,0.0005859107,Stable,Stable,Stable,Stable,Stable,Stable,-0.0004476007990888,-0.0011003981402609,-0.0016184134874492,0.0011320246267132,0.0008058573090238,0.0020639139343984,0
Abakaile,2024-10-01,Garissa,0.0,Stable,False,0.00012999774,0.0,0.0,Stable,Stable,Stable,Stable,Stable,Stable,-0.0014887951896525,-0.0033161086263135,-0.0045021037803962,0.0009695085464045,0.0007431472098687,0.0027311057201586,0
Abakaile,2024-11-01,Garissa,0.0,Stable,False,0.0,0.0,0.00095607823,Stable,Stable,Stable,Stable,Stable,Stable,-0.0008288142998935,-0.0010978597856592,-0.0017854194797109,0.0010146209795493,0.0018475174845661,0.0010764341510366,0
Abakaile,2024-12-01,Garissa,0.0,Stable,False,0.0008526495,0.000546189,0.0010680214,Stable,Stable,Stable,Stable,Stable,Stable,-0.0001265461549337,-0.0005584404047112,-0.0009161950089037,0.002966002037283,0.0021019218023866,0.0034901298349723,0
Abakaile,2025-01-01,Garissa,0.0,Stable,False,0.00018021443,0.00026501264,0.0027811246,Stable,Stable,Stable,Stable,Stable,Stable,-0.0001756811303494,-0.0007801126077538,0.0006723456084728,0.0020048397942446,0.0007840504491468,0.0060280336765572,0
Abakaile,2025-02-01,Garissa,0.0,Stable,False,0.0,0.0029625376,0.0025422892,Stable,Stable,Stable,Stable,Stable,Stable,-0.0002741407894063,0.0015823475201614,0.0016791779431514,0.0006631615979131,0.0048599167261272,0.0067889174446463,0
Abakaile,2025-03-01,Garissa,0.0022385628069343,Stable,False,0.0021017743,0.0046321293,0.0,Stable,Stable,Stable,Stable,Stable,Stable,0.0012039177119731,0.0030152517021633,-0.0013612601091153,0.004539823369123,0.0088292197789996,0.0041184895439073,0
Abakaile,2025-04-01,Garissa,0.0050928946805203,Stable,False,0.012576899,0.0038326164,0.005767055,Stable,Stable,Stable,Stable,Stable,Stable,0.0049690048675984,0.0018282761215232,-0.0006287078926106,0.0194974249228835,0.0055464180884882,0.0141637360677123,0
Abakaile,2025-05-01,Garissa,0.0046070189026707,Stable,False,0.0036761225,0.0044887606,0.017710803,Stable,Stable,Increasing,Stable,Stable,Stable,0.003020314569585,-0.0001449565730581,0.0061627398943528,0.0076283558737486,0.0158528714440762,0.0396328154951333,0
Abakaile,2025-06-01,Garissa,0.0037401949719275,Stable,False,0.004504841,0.008052768,0.011345451,Stable,Stable,Stable,Stable,Stable,Stable,0.0026196783524937,0.0015051790338475,0.0024543895269744,0.0120556849054992,0.0194616761058568,0.0308547084219753,0
Abakaile,2025-07-01,Garissa,0.0027249143854117,Stable,False,0.009107493,0.011499664,0.016476732,Stable,Stable,Increasing,Stable,Stable,Stable,0.0021501727052964,0.0006388574955053,0.0033938739798031,0.0145622731186449,0.0230993083678185,0.0353941816836595,0
Adu,2022-08-01,Kilifi,0.0161290322580645,No Data,False,0.010501587,0.008748657,0.012664231,Stable,Stable,Stable,Stable,Stable,Stable,0.0057561794528737,0.0043326932704076,0.0061235008528456,0.0208598214201629,0.0211933283135294,0.0249477762728929,0
Adu,2022-09-01,Kilifi,0.0078405593911934,Stable,False,0.008432215,0.01173234,0.012661137,Stable,Stable,Stable,Stable,Stable,Stable,0.0059703757287934,0.0046024621929973,0.0041146997595205,0.026625661086291,0.0235453887842595,0.0221309520304203,0
Adu,2022-10-01,Kilifi,0.0075026215326448,Stable,False,0.006789165,0.009317642,0.011714476,Stable,Stable,Stable,Stable,Stable,Stable,0.0058683985378593,0.0037762618390843,0.0040464446181431,0.0156814500689506,0.015915145818144,0.0178685743361711,0
