Ward,time_period,County,observed,observed_trend_2mo,alert_flag,predicted_value_1mo,predicted_value_2mo,predicted_value_3mo,predicted_trend_1mo,predicted_trend_2mo,predicted_trend_3mo,predicted_trend_CI_1mo,predicted_trend_CI_2mo,predicted_trend_CI_3mo,lower_bound_1mo,lower_bound_2mo,lower_bound_3mo,upper_bound_1mo,upper_bound_2mo,upper_bound_3mo,consecutive_alerts
Abakaile,2024-01-01,Garissa,0.0235294117647058,No Data,False,0.030962925,0.031393386,0.028849421,Stable,Stable,Stable,Stable,Stable,Stable,0.0209767851047217,0.0185656977817416,0.0127365133725106,0.044328885525465,0.0486987125128507,0.0568844553083181,0
Abakaile,2024-02-01,Garissa,0.0291581758941753,Stable,False,0.027197352,0.036856934,0.031545177,Stable,Stable,Stable,Stable,Stable,Stable,0.0047905868152156,0.0001537646901851,-0.0085919042583554,0.0445007164031267,0.0587501926347613,0.0704907920211553,0
Abakaile,2024-03-01,Garissa,0.0406674420833195,Increasing,False,0.04132824,0.033373773,0.012227897,Stable,Stable,Decreasing,Stable,Stable,Stable,0.0262969666160643,0.0011911218432942,-0.0273776498623192,0.0603574460372328,0.0668122068047523,0.0487538395449519,0
Abakaile,2024-04-01,Garissa,0.0468229452984757,Stable,False,0.054492567,0.04018609,0.020561751,Stable,Stable,Decreasing,Stable,Stable,Stable,0.0404330486431717,0.0036187945050187,-0.0171907012350857,0.0838217563927173,0.070928581058979,0.0501069338992237,0
Abakaile,2024-05-01,Garissa,0.0387507815061131,Stable,False,0.037172433,0.023529422,0.024128249,Stable,Decreasing,Decreasing,Stable,Stable,Stable,0.0228042821399867,-0.002893260482233,-0.0244637263007462,0.0508953660726547,0.0472076810896396,0.038226887397468,0
Abakaile,2024-06-01,Garissa,0.0399906123064723,Stable,False,0.042660676,0.031004159,0.029709117,Stable,Stable,Decreasing,Stable,Stable,Stable,0.0402175085619092,0.0260331406258046,0.0077367778168991,0.0563457606360316,0.05575746987015,0.0534169325605034,0
Abakaile,2024-07-01,Garissa,0.0301159142179606,Stable,False,0.030877266,0.0067864056,0.011690614,Stable,Decreasing,Decreasing,Stable,Stable,Stable,0.0211684443987906,0.0055433284724131,-0.0014324495277833,0.041028138808906,0.0353514283895492,0.0504156284034251,0
Abakaile,2024-08-01,Garissa,0.0211778562483605,Stable,False,0.012754317,0.017484548,0.0032656419,Stable,Stable,Decreasing,Stable,Stable,Stable,0.0117385691497474,0.008598341140896,-0.00443465791177,0.0454052774235605,0.0623180381953715,0.0714671596884727,0
Abakaile,2024-09-01,Garissa,0.0192500200538886,Stable,False,0.014778935,0.011190563,0.010454446,Stable,Stable,Stable,Stable,Stable,Stable,0.0136999951209872,0.0091482247691601,0.0048692506738007,0.0302783600054681,0.0523115135729312,0.033592284657061,0
Abakaile,2024-10-01,Garissa,0.0133929331562329,Stable,False,0.0022337644,0.0,0.010639033,Decreasing,Decreasing,Stable,Stable,Stable,Stable,0.0023074841126799,-0.0060424144612625,-0.0001773414463968,0.0143695446662604,0.0232758560217916,0.0472818925976753,0
Abakaile,2024-11-01,Garissa,0.0116130304602041,Stable,False,0.0074541206,0.037548546,0.013399301,Stable,Increasing,Stable,Stable,Increasing,Stable,0.0058255309704691,0.0246757991611957,0.0047992783598601,0.0155771607067435,0.0523922741413116,0.0306562526151537,0
Abakaile,2024-12-01,Garissa,0.0299926824906662,Increasing,False,0.042080555,0.030490827,0.041285332,Increasing,Stable,Increasing,Stable,Stable,Stable,0.0314743688330054,0.0246393389999866,0.0324413431808352,0.0459665922448039,0.0453730637207627,0.0714996375143527,0
Abakaile,2025-01-01,Garissa,0.0321148711417703,Stable,False,0.028229186,0.039746914,0.032736883,Stable,Stable,Stable,Stable,Stable,Stable,0.0267864876426756,0.0311880419962108,0.0230492983944714,0.0359528314322233,0.0532493019476532,0.0448565805330872,0
Abakaile,2025-02-01,Garissa,0.0429126214814439,Increasing,False,0.047184713,0.04638232,0.027026873,Stable,Stable,Decreasing,Stable,Stable,Stable,0.0418834285810589,0.0391358582302927,0.0257978849112987,0.0520467527210712,0.0543205369263887,0.0417275795713067,0
Abakaile,2025-03-01,Garissa,0.0489565843350595,Stable,False,0.03873347,0.03833242,0.038428742,Decreasing,Decreasing,Decreasing,Stable,Stable,Stable,0.0393117144703865,0.027495792414993,0.0258110163733363,0.0542020283639431,0.0517983568832278,0.0534296697005629,0
Abakaile,2025-04-01,Garissa,0.0424444642641756,Stable,False,0.053727124,0.026887683,0.0190551,Increasing,Decreasing,Decreasing,Stable,Stable,Stable,0.032855050265789,0.019406858459115,-0.0111978599801659,0.0627052448689937,0.0481432361528277,0.0555614722892641,0
Abakaile,2025-05-01,Garissa,0.0400351896938138,Stable,False,0.04306775,0.034593724,0.05053591,Stable,Stable,Increasing,Stable,Stable,Stable,0.0344583816826343,0.0185681774280965,0.0269028535112738,0.0593079451471567,0.0756800577044486,0.1334522143006324,0
Abakaile,2025-06-01,Garissa,0.03501448194976,Stable,False,0.036287576,0.050345372,0.046197034,Stable,Increasing,Increasing,Stable,Stable,Stable,0.0319419037550687,0.0260590648278594,0.0198333111591637,0.0560727370902895,0.0808153845369815,0.1013267718255519,0
Abakaile,2025-07-01,Garissa,0.0253298708302707,Stable,False,0.06949646,0.0866592,0.11586283,Increasing,Increasing,Increasing,Stable,Stable,Stable,0.0266270638443529,0.023718699067831,0.0313520466908812,0.0937734402716159,0.1310822136700153,0.2014132142066955,0
Adu,2022-08-01,Kilifi,0.064516129032258,No Data,False,0.07240757,0.08798563,0.0865794,Stable,Increasing,Increasing,Stable,Stable,Stable,0.0562512550503015,0.0559729821979999,0.0585609724745154,0.1572962351143359,0.1877212673425674,0.1810158289968966,0
Adu,2022-09-01,Kilifi,0.0708918773913896,Stable,False,0.060846154,0.066415794,0.05484851,Decreasing,Stable,Decreasing,Stable,Stable,Stable,0.0585680302232503,0.0571769772097468,0.0553270690143108,0.131514324247837,0.1624200500547886,0.1569544836878775,0
Adu,2022-10-01,Kilifi,0.0789072449644446,Stable,False,0.07544822,0.07489208,0.08803523,Stable,Stable,Stable,Stable,Stable,Stable,0.0638091024011373,0.0632227126508951,0.0675909429788589,0.1168523125350474,0.1475153058767318,0.1679602406919001,0
Adu,2022-11-01,Kilifi,0.0733670897409206,Stable,False,0.07107592,0.074050665,0.0777116,Stable,Stable,Stable,Stable,Stable,Stable,0.0637855473905801,0.0618790591135621,0.0633173484355211,0.0915605664253234,0.1021886970847845,0.1090027701109647,0
Adu,2022-12-01,Kilifi,0.0635557559119614,Stable,False,0.065309964,0.06261421,0.06357839,Stable,Stable,Stable,Stable,Stable,Stable,0.0535816423594951,0.0569372579455375,0.0581195896491408,0.0743945781141519,0.0816001992672681,0.0873476523905992,0
Adu,2023-01-01,Kilifi,0.0498328721891316,Decreasing,False,0.056074016,0.041354373,0.07025504,Stable,Stable,Increasing,Stable,Stable,Stable,0.0388984890654683,0.0303027674555778,0.0458217494189739,0.057517678104341,0.0577085891738533,0.0847304783761501,0
